Name,Date,Price,Phone info,Place,Category,Image,Link
Velo Road Chisinau,2022-06-24,registration,,Primăria Municipiului Chișinău,Sports,https://www.fest.md/files/events/160/image_16049_1_preview.jpg,https://www.fest.md/en/events/sports/velo-road-chisinau
"""Came a man to a woman"" Performance",2022-06-24,70 - 150 mdl,022 223 362,"""A.P.Chekhov"" Theater",Performances,https://www.fest.md/files/events/72/image_7218_1_preview.jpg,https://www.fest.md/en/events/performances/came-a-man-to-a-woman-performance-1
"""Winnie Pooh Bear"" Performance 2+",2022-06-24,60 mdl,022 47-61-47 ; 022 47-72-55,"""Guguta"" Theatre",Performances,https://www.fest.md/files/events/49/image_4965_1_preview.jpg,https://www.fest.md/en/events/performances/winnie-pooh-bear-performance
"""38 parrots"" Performance",2022-06-24,50 - 100 mdl,022 223 362,"""A.P.Chekhov"" Theater",Performances,https://www.fest.md/files/events/45/image_4575_1_preview.jpg,https://www.fest.md/en/events/performances/38-parrots-performance
No pajamas,2022-06-25,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
Hai la Film!,2022-06-25,Free admission,,Cinema Odeon,Movies,https://www.fest.md/files/events/160/image_16048_1_preview.jpg,https://www.fest.md/en/events/movies/hai-la-film
Velo Road Chisinau,2022-06-25,registration,,Primăria Municipiului Chișinău,Sports,https://www.fest.md/files/events/160/image_16049_1_preview.jpg,https://www.fest.md/en/events/sports/velo-road-chisinau
"""Came a man to a woman"" Performance",2022-06-25,70 - 150 mdl,022 223 362,"""A.P.Chekhov"" Theater",Performances,https://www.fest.md/files/events/72/image_7218_1_preview.jpg,https://www.fest.md/en/events/performances/came-a-man-to-a-woman-performance-1
"""Winnie Pooh Bear"" Performance 2+",2022-06-25,60 mdl,022 47-61-47 ; 022 47-72-55,"""Guguta"" Theatre",Performances,https://www.fest.md/files/events/49/image_4965_1_preview.jpg,https://www.fest.md/en/events/performances/winnie-pooh-bear-performance
"""38 parrots"" Performance",2022-06-25,50 - 100 mdl,022 223 362,"""A.P.Chekhov"" Theater",Performances,https://www.fest.md/files/events/45/image_4575_1_preview.jpg,https://www.fest.md/en/events/performances/38-parrots-performance
"""Ognivo"" Performance",2022-06-25,100 mdl,022 769855,"""From the Rose Street"" Theatre",Performances,https://www.fest.md/files/events/77/image_7708_1_preview.jpg,https://www.fest.md/en/events/performances/ognivo-performance
"""Joisarbatoare"" Performance",2022-06-25,50 - 120 mdl,,"""Mihai Eminescu"" Theater",Theatres,https://www.fest.md/files/events/132/image_13292_2_preview.jpg,https://www.fest.md/en/events/theatres/joisarbatoare-performance
SA LE SPUNEM PE NUME,2022-06-25,200 mdl,,"Theater ""Alexei Mateevici""",Theatres,https://www.fest.md/files/events/160/image_16037_1_preview.jpg,https://www.fest.md/en/events/theatres/sa-le-spunem-pe-nume
Three sisters,2022-06-25,200 - 250 mdl,022-22-65-20,"""Luceafarul"" Theater",Theatres,https://www.fest.md/files/events/159/image_15968_1_preview.jpg,https://www.fest.md/en/events/theatres/three-sisters
12 soapte in a 12-a noapte,2022-06-25,100 - 200 mdl,,Teatrul Fara Nume,Theatres,https://www.fest.md/files/events/146/image_14697_1_preview.jpg,https://www.fest.md/en/events/theatres/12-soapte-in-a-12-a-noapte
"Classical Music Festival ""DescOpera""",2022-06-25,75 - 900 lei,068 999 608 | 060 611 088,Orheiul Vechi (Butuceni),Concerts,https://www.fest.md/files/events/160/image_16002_1_preview.jpg,https://www.fest.md/en/events/concerts/classical-music-festival-descopera
No pajamas,2022-06-26,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
Hai la Film!,2022-06-26,Free admission,,Cinema Odeon,Movies,https://www.fest.md/files/events/160/image_16048_1_preview.jpg,https://www.fest.md/en/events/movies/hai-la-film
Velo Road Chisinau,2022-06-26,registration,,Primăria Municipiului Chișinău,Sports,https://www.fest.md/files/events/160/image_16049_1_preview.jpg,https://www.fest.md/en/events/sports/velo-road-chisinau
"""Came a man to a woman"" Performance",2022-06-26,70 - 150 mdl,022 223 362,"""A.P.Chekhov"" Theater",Performances,https://www.fest.md/files/events/72/image_7218_1_preview.jpg,https://www.fest.md/en/events/performances/came-a-man-to-a-woman-performance-1
"""Winnie Pooh Bear"" Performance 2+",2022-06-26,60 mdl,022 47-61-47 ; 022 47-72-55,"""Guguta"" Theatre",Performances,https://www.fest.md/files/events/49/image_4965_1_preview.jpg,https://www.fest.md/en/events/performances/winnie-pooh-bear-performance
"""38 parrots"" Performance",2022-06-26,50 - 100 mdl,022 223 362,"""A.P.Chekhov"" Theater",Performances,https://www.fest.md/files/events/45/image_4575_1_preview.jpg,https://www.fest.md/en/events/performances/38-parrots-performance
"""Ognivo"" Performance",2022-06-26,100 mdl,022 769855,"""From the Rose Street"" Theatre",Performances,https://www.fest.md/files/events/77/image_7708_1_preview.jpg,https://www.fest.md/en/events/performances/ognivo-performance
"""Joisarbatoare"" Performance",2022-06-26,50 - 120 mdl,,"""Mihai Eminescu"" Theater",Theatres,https://www.fest.md/files/events/132/image_13292_2_preview.jpg,https://www.fest.md/en/events/theatres/joisarbatoare-performance
SA LE SPUNEM PE NUME,2022-06-26,200 mdl,,"Theater ""Alexei Mateevici""",Theatres,https://www.fest.md/files/events/160/image_16037_1_preview.jpg,https://www.fest.md/en/events/theatres/sa-le-spunem-pe-nume
Three sisters,2022-06-26,200 - 250 mdl,022-22-65-20,"""Luceafarul"" Theater",Theatres,https://www.fest.md/files/events/159/image_15968_1_preview.jpg,https://www.fest.md/en/events/theatres/three-sisters
12 soapte in a 12-a noapte,2022-06-26,100 - 200 mdl,,Teatrul Fara Nume,Theatres,https://www.fest.md/files/events/146/image_14697_1_preview.jpg,https://www.fest.md/en/events/theatres/12-soapte-in-a-12-a-noapte
No pajamas,2022-06-27,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
No pajamas,2022-06-28,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
No pajamas,2022-06-29,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
No pajamas,2022-06-30,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
Hai la Film!,2022-06-30,Free admission,,Cinema Odeon,Movies,https://www.fest.md/files/events/160/image_16048_1_preview.jpg,https://www.fest.md/en/events/movies/hai-la-film
Velo Road Chisinau,2022-06-30,registration,,Primăria Municipiului Chișinău,Sports,https://www.fest.md/files/events/160/image_16049_1_preview.jpg,https://www.fest.md/en/events/sports/velo-road-chisinau
No pajamas,2022-07-02,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
Hai la Film!,2022-07-02,Free admission,,Cinema Odeon,Movies,https://www.fest.md/files/events/160/image_16048_1_preview.jpg,https://www.fest.md/en/events/movies/hai-la-film
No pajamas,2022-07-05,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
No pajamas,2022-07-06,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
No pajamas,2022-07-08,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
No pajamas,2022-07-09,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
No pajamas,2022-07-31,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
No pajamas,2022-08-03,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
No pajamas,2022-08-06,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
No pajamas,2022-08-08,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
Hai la Film!,2022-08-08,Free admission,,Cinema Odeon,Movies,https://www.fest.md/files/events/160/image_16048_1_preview.jpg,https://www.fest.md/en/events/movies/hai-la-film
No pajamas,2022-08-12,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
No pajamas,2022-08-13,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
No pajamas,2022-08-14,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
No pajamas,2022-08-18,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
No pajamas,2022-08-19,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
No pajamas,2022-08-27,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
No pajamas,2022-08-28,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
No pajamas,2022-09-03,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
No pajamas,2022-09-07,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
No pajamas,2022-09-24,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
No pajamas,2022-09-25,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
No pajamas,2022-10-22,70 - 100 mdl,060 88 90 89 / 069416078,"Satiricus I. L. Caragiale,National Theatre",Performances,https://www.fest.md/files/events/156/image_15660_10_preview.jpg,https://www.fest.md/en/events/performances/no-pajamas
